subject_id	predicate_id	object_id	mapping_justification	mapping_set	mapping_set_version	mapping_set_license	mapping_set_confidence	author_id	comment
mesh:D065833	skos:exactMatch	uberon:0002932	semapv:MappingInversion	biomappings			1.0		uberon:0002932 mesh:D065833
mesh:D065821	skos:exactMatch	uberon:0003023	semapv:MappingInversion	biomappings			1.0		uberon:0003023 mesh:D065821
mesh:D000083382	skos:exactMatch	uberon:0003044	semapv:MappingInversion	biomappings			1.0		uberon:0003044 mesh:D000083382
bto:0006222	skos:exactMatch	uberon:0003050	semapv:MappingInversion	biomappings			1.0		uberon:0003050 bto:0006222
bto:0003377	skos:exactMatch	uberon:0003055	semapv:MappingInversion	biomappings			1.0		uberon:0003055 bto:0003377
bto:0005991	skos:exactMatch	uberon:0003060	semapv:MappingInversion	biomappings			1.0		uberon:0003060 bto:0005991
bto:0005990	skos:exactMatch	uberon:0003074	semapv:MappingInversion	biomappings			1.0		uberon:0003074 bto:0005990
mesh:D054258	skos:exactMatch	uberon:0003075	semapv:MappingInversion	biomappings			1.0		uberon:0003075 mesh:D054258
bto:0006255	skos:exactMatch	uberon:0003089	semapv:MappingInversion	biomappings			1.0		uberon:0003089 bto:0006255
mesh:D049428	skos:exactMatch	uberon:0003209	semapv:MappingInversion	biomappings			1.0		uberon:0003209 mesh:D049428
mesh:D050280	skos:exactMatch	uberon:0003460	semapv:MappingInversion	biomappings			1.0		uberon:0003460 mesh:D050280
mesh:D005147	skos:exactMatch	uberon:0003462	semapv:MappingInversion	biomappings			1.0		uberon:0003462 mesh:D005147
bto:0006184	skos:exactMatch	uberon:0003679	semapv:MappingInversion	biomappings			1.0		uberon:0003679 bto:0006184
bto:0006035	skos:exactMatch	uberon:0003687	semapv:MappingInversion	biomappings			1.0		uberon:0003687 bto:0006035
mesh:D056547	skos:exactMatch	uberon:0003881	semapv:MappingInversion	biomappings			1.0		uberon:0003881 mesh:D056547
mesh:D056651	skos:exactMatch	uberon:0003882	semapv:MappingInversion	biomappings			1.0		uberon:0003882 mesh:D056651
mesh:D056654	skos:exactMatch	uberon:0003883	semapv:MappingInversion	biomappings			1.0		uberon:0003883 mesh:D056654
bto:0006008	skos:exactMatch	uberon:0003911	semapv:MappingInversion	biomappings			1.0		uberon:0003911 bto:0006008
bto:0006162	skos:exactMatch	uberon:0003937	semapv:MappingInversion	biomappings			1.0		uberon:0003937 bto:0006162
bto:0006248	skos:exactMatch	uberon:0004016	semapv:MappingInversion	biomappings			1.0		uberon:0004016 bto:0006248
mesh:D054240	skos:exactMatch	uberon:0004341	semapv:MappingInversion	biomappings			1.0		uberon:0004341 mesh:D054240
bto:0005981	skos:exactMatch	uberon:0004637	semapv:MappingInversion	biomappings			1.0		uberon:0004637 bto:0005981
mesh:D066152	skos:exactMatch	uberon:0004676	semapv:MappingInversion	biomappings			1.0		uberon:0004676 mesh:D066152
mesh:D065814	skos:exactMatch	uberon:0004720	semapv:MappingInversion	biomappings			1.0		uberon:0004720 mesh:D065814
