subject_id	predicate_id	object_id	mapping_justification	mapping_set	mapping_set_version	mapping_set_license	mapping_set_confidence	author_id	comment
uberon:0001995	skos:exactMatch	mesh:D051445	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D051445	skos:exactMatch	uberon:0001995	semapv:MappingInversion	biomappings			1.0		uberon:0001995 mesh:D051445
uberon:0002020	skos:exactMatch	mesh:D066128	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D066128	skos:exactMatch	uberon:0002020	semapv:MappingInversion	biomappings			1.0		uberon:0002020 mesh:D066128
uberon:0002035	skos:exactMatch	bto:0006167	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
bto:0006167	skos:exactMatch	uberon:0002035	semapv:MappingInversion	biomappings			1.0		uberon:0002035 bto:0006167
uberon:0002043	skos:exactMatch	mesh:D065847	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D065847	skos:exactMatch	uberon:0002043	semapv:MappingInversion	biomappings			1.0		uberon:0002043 mesh:D065847
uberon:0002062	skos:exactMatch	mesh:D054089	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D054089	skos:exactMatch	uberon:0002062	semapv:MappingInversion	biomappings			1.0		uberon:0002062 mesh:D054089
uberon:0002120	skos:exactMatch	mesh:D060910	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D060910	skos:exactMatch	uberon:0002120	semapv:MappingInversion	biomappings			1.0		uberon:0002120 mesh:D060910
uberon:0002128	skos:exactMatch	mesh:D065832	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D065832	skos:exactMatch	uberon:0002128	semapv:MappingInversion	biomappings			1.0		uberon:0002128 mesh:D065832
uberon:0002142	skos:exactMatch	mesh:D045042	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
mesh:D045042	skos:exactMatch	uberon:0002142	semapv:MappingInversion	biomappings			1.0		uberon:0002142 mesh:D045042
uberon:0002145	skos:exactMatch	mesh:D066268	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D066268	skos:exactMatch	uberon:0002145	semapv:MappingInversion	biomappings			1.0		uberon:0002145 mesh:D066268
uberon:0002152	skos:exactMatch	mesh:D065837	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D065837	skos:exactMatch	uberon:0002152	semapv:MappingInversion	biomappings			1.0		uberon:0002152 mesh:D065837
uberon:0002156	skos:exactMatch	mesh:D065846	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D065846	skos:exactMatch	uberon:0002156	semapv:MappingInversion	biomappings			1.0		uberon:0002156 mesh:D065846
uberon:0002157	skos:exactMatch	mesh:D065848	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D065848	skos:exactMatch	uberon:0002157	semapv:MappingInversion	biomappings			1.0		uberon:0002157 mesh:D065848
uberon:0002186	skos:exactMatch	mesh:D055745	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D055745	skos:exactMatch	uberon:0002186	semapv:MappingInversion	biomappings			1.0		uberon:0002186 mesh:D055745
uberon:0002219	skos:exactMatch	bto:0006266	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
bto:0006266	skos:exactMatch	uberon:0002219	semapv:MappingInversion	biomappings			1.0		uberon:0002219 bto:0006266
uberon:0002236	skos:exactMatch	mesh:D066186	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D066186	skos:exactMatch	uberon:0002236	semapv:MappingInversion	biomappings			1.0		uberon:0002236 mesh:D066186
